,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
462,7,SC Williams,1,35,38,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,931392
463,8,Sikandar Raza,1,31,44,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,931392
464,9,T Muzarabani,1,31,55,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,931392
465,10,T Panyangara,1,40,61,3.0,0.0,0.0,3.0,0.0,0.0,Zimbabwe,931392
466,0,AG Cremer,1,44,61,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,931390
467,1,Al-Amin Hossain,2,14,31,1.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,931390
468,2,Arafat Sunny,2,19,42,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,931390
469,3,LM Jongwe,1,42,50,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,931390
470,4,Mashrafe Mortaza,2,13,36,2.0,0.0,0.0,2.0,0.0,0.0,Bangladesh,931390
471,5,Mustafizur Rahman,2,25,38,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,931390
472,6,Nasir Hossain,2,6,13,1.0,0.0,1.0,0.0,0.0,0.0,Bangladesh,931390
473,7,SC Williams,1,26,32,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,931390
474,8,Shakib Al Hasan,2,46,61,5.0,2.0,1.0,2.0,0.0,0.0,Bangladesh,931390
475,9,Sikandar Raza,1,47,42,2.0,0.0,0.0,1.0,0.0,1.0,Zimbabwe,931390
476,10,T Muzarabani,1,62,62,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,931390
477,11,T Panyangara,1,37,61,1.0,1.0,0.0,0.0,0.0,0.0,Zimbabwe,931390
478,0,Amir Hamza,1,22,60,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924633
479,1,CT Mutombodzi,2,26,30,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924633
480,2,Dawlat Zadran,1,36,55,3.0,0.0,1.0,2.0,0.0,0.0,Afghanistan,924633
481,3,LM Jongwe,2,15,32,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,924633
482,4,Mirwais Ashraf,1,22,43,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924633
483,5,Mohammad Nabi,1,34,54,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924633
484,6,Rashid Khan,1,37,60,2.0,0.0,1.0,0.0,0.0,1.0,Afghanistan,924633
485,7,SC Williams,2,30,53,2.0,1.0,0.0,1.0,0.0,0.0,Zimbabwe,924633
486,8,Samiullah Shenwari,1,27,30,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924633
487,9,T Panyangara,2,25,52,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924633
488,10,TS Chisoro,2,38,60,3.0,0.0,0.0,3.0,0.0,0.0,Zimbabwe,924633
489,11,WP Masakadza,2,42,60,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,924633
490,0,Aftab Alam,2,47,53,2.0,1.0,0.0,1.0,0.0,0.0,Afghanistan,924629
491,1,Amir Hamza,2,45,54,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924629
492,2,CJ Chibhabha,1,10,13,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924629
493,3,CT Mutombodzi,1,40,42,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,924629
494,4,Dawlat Zadran,2,24,49,2.0,1.0,0.0,1.0,0.0,0.0,Afghanistan,924629
495,5,J Nyumbu,1,32,24,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924629
496,6,LM Jongwe,1,50,51,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924629
497,7,Mohammad Nabi,2,39,42,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924629
498,8,Rashid Khan,2,29,61,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924629
499,9,Samiullah Shenwari,2,18,29,2.0,1.0,0.0,0.0,1.0,0.0,Afghanistan,924629
500,10,Sikandar Raza,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924629
501,11,T Panyangara,1,42,49,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,924629
502,12,TS Chisoro,1,40,61,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,924629
503,13,WP Masakadza,1,46,60,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,924629
504,0,Aftab Alam,2,21,30,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924627
505,1,Amir Hamza,2,30,36,1.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,924627
506,2,CJ Chibhabha,1,17,30,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924627
507,3,Dawlat Zadran,2,15,24,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924627
508,4,J Nyumbu,1,17,25,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924627
509,5,LM Jongwe,1,14,44,3.0,0.0,0.0,3.0,0.0,0.0,Zimbabwe,924627
510,6,Mohammad Nabi,2,10,12,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924627
511,7,Samiullah Shenwari,2,24,14,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924627
512,8,Shapoor Zadran,2,26,24,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,924627
513,9,T Panyangara,1,30,44,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,924627
514,10,TS Chisoro,1,16,30,3.0,1.0,1.0,1.0,0.0,0.0,Zimbabwe,924627
515,11,WP Masakadza,1,21,37,4.0,0.0,1.0,2.0,0.0,1.0,Zimbabwe,924627
516,0,AR McBrine,1,47,60,1.0,1.0,0.0,0.0,0.0,0.0,Ireland,919617
517,1,CA Young,1,31,64,1.0,0.0,0.0,1.0,0.0,0.0,Ireland,919617
518,2,CJ Chibhabha,2,8,6,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,919617
519,3,CT Mutombodzi,2,32,61,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,919617
520,4,GH Dockrell,1,40,60,0.0,0.0,0.0,0.0,0.0,0.0,Ireland,919617
521,5,J Nyumbu,2,34,55,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,919617
522,6,KJ O'Brien,1,14,26,1.0,0.0,1.0,0.0,0.0,0.0,Ireland,919617
