,index,batsman,innings,runs,balls_faced,zeros,ones,twos,threes,fours,fives,sixes,dismissal_type,strike_batsman_x,offstrike_batsman,bowler,out,batting_pos,strike_batsman_y,batting_team,match_id
5201,14,AM Rahane,2,19,24,15,5,1,0,3,0,0,run out,AM Rahane,V Kohli,,True,4,AM Rahane,India,656475
5202,15,SK Raina,2,110,108,49,42,4,0,9,0,4,,,,,False,5,SK Raina,India,656475
5203,16,MS Dhoni,2,85,79,33,31,5,0,8,0,2,,,,,False,6,MS Dhoni,India,656475
5204,0,Javed Ahmadi,1,7,16,12,2,1,1,0,0,0,caught,Javed Ahmadi,Afsar Zazai,SCJ Broad,True,1,Javed Ahmadi,Afghanistan,656473
5205,1,Nawroz Mangal,1,4,30,26,4,0,0,0,0,0,caught,Nawroz Mangal,Javed Ahmadi,JM Anderson,True,2,Nawroz Mangal,Afghanistan,656473
5206,2,Afsar Zazai,1,6,14,10,2,2,0,0,0,0,caught,Afsar Zazai,Nasir Jamal,CJ Jordan,True,3,Afsar Zazai,Afghanistan,656473
5207,3,Nasir Jamal,1,17,55,44,9,0,0,2,0,0,caught,Nasir Jamal,Shafiqullah,RS Bopara,True,4,Nasir Jamal,Afghanistan,656473
5208,4,Samiullah Shenwari,1,7,11,8,1,1,0,1,0,0,caught,Samiullah Shenwari,Nasir Jamal,CJ Jordan,True,5,Samiullah Shenwari,Afghanistan,656473
5209,5,Shafiqullah,1,30,64,42,16,5,0,1,0,0,caught,Shafiqullah,Najibullah Zadran,JC Tredwell,True,6,Shafiqullah,Afghanistan,656473
5210,6,Mohammad Nabi,1,16,17,10,4,1,0,1,0,1,caught,Mohammad Nabi,Shafiqullah,RS Bopara,True,7,Mohammad Nabi,Afghanistan,656473
5211,7,Najibullah Zadran,1,12,15,9,4,0,0,2,0,0,,,,,False,8,Najibullah Zadran,Afghanistan,656473
5212,8,Hamid Hassan,1,0,2,2,0,0,0,0,0,0,,,,,False,9,Hamid Hassan,Afghanistan,656473
5213,9,AD Hales,2,37,33,18,7,3,0,3,0,2,caught,AD Hales,IR Bell,Hamid Hassan,True,1,AD Hales,England,656473
5214,10,IR Bell,2,52,56,29,16,3,2,6,0,0,,,,,False,2,IR Bell,England,656473
5215,11,JWA Taylor,2,8,21,14,6,1,0,0,0,0,,,,,False,3,JWA Taylor,England,656473
5216,0,Tamim Iqbal,1,13,27,21,3,1,0,2,0,0,caught,Tamim Iqbal,Soumya Sarkar,TA Boult,True,1,Tamim Iqbal,Bangladesh,656471
